airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio
LTFE,220,202,197,199,departures,0.8954545454545455,0.9045454545454545
ENVA,219,200,186,187,arrivals,0.8493150684931506,0.8538812785388128
LFBD,219,210,210,215,arrivals,0.958904109589041,0.9817351598173516
ENVA,217,211,199,201,departures,0.9170506912442397,0.9262672811059908
LUKK,217,9,6,6,departures,0.027649769585253458,0.027649769585253458
LUKK,217,54,0,0,arrivals,0.0,0.0
LDSP,216,3,0,0,departures,0.0,0.0
ESGG,216,214,214,214,departures,0.9907407407407407,0.9907407407407407
UUWW,216,17,5,6,departures,0.023148148148148147,0.027777777777777776
LDZA,215,211,211,211,departures,0.9813953488372092,0.9813953488372092
LDSP,215,14,1,2,arrivals,0.004651162790697674,0.009302325581395349
LDZA,215,193,193,194,arrivals,0.8976744186046511,0.9023255813953488
ESGG,214,201,197,200,arrivals,0.9205607476635514,0.9345794392523364
UUEE,214,3,2,25,arrivals,0.009345794392523364,0.11682242990654206
EDDV,213,213,213,214,departures,1.0,1.0046948356807512
GCFV,212,2,0,0,departures,0.0,0.0
UUEE,212,78,75,79,departures,0.35377358490566035,0.37264150943396224
EGNT,211,195,195,195,departures,0.9241706161137441,0.9241706161137441
EGNT,211,159,159,159,arrivals,0.7535545023696683,0.7535545023696683
GCFV,211,24,0,0,arrivals,0.0,0.0
EDDV,209,190,190,192,arrivals,0.9090909090909091,0.9186602870813397
EGGP,208,206,204,207,departures,0.9807692307692307,0.9951923076923077
EGGP,206,177,176,180,arrivals,0.8543689320388349,0.8737864077669902
LIRQ,202,201,201,202,departures,0.995049504950495,1.0
EDDN,201,197,196,197,departures,0.9751243781094527,0.9800995024875622
EDDN,199,178,177,181,arrivals,0.8894472361809045,0.9095477386934674
LGSA,199,120,119,120,arrivals,0.5979899497487438,0.6030150753768844
EGLC,198,197,197,199,departures,0.9949494949494949,1.005050505050505
LIRQ,198,195,186,189,arrivals,0.9393939393939394,0.9545454545454546
LGSA,196,192,192,194,departures,0.9795918367346939,0.9897959183673469
LIEE,195,167,146,147,arrivals,0.7487179487179487,0.7538461538461538
EPWR,194,166,166,168,arrivals,0.8556701030927835,0.865979381443299
EPWR,193,187,187,188,departures,0.9689119170984456,0.9740932642487047
EGNM,193,154,153,154,arrivals,0.7927461139896373,0.7979274611398963
UDYZ,192,4,0,0,departures,0.0,0.0
UDYZ,192,2,0,0,arrivals,0.0,0.0
EHEH,191,191,189,189,departures,0.9895287958115183,0.9895287958115183
LIEE,191,124,123,123,departures,0.643979057591623,0.643979057591623
EGNM,190,186,185,185,departures,0.9736842105263158,0.9736842105263158
EHEH,190,174,170,171,arrivals,0.8947368421052632,0.9
EGLC,189,189,189,198,arrivals,1.0,1.0476190476190477
EYVI,189,169,132,137,arrivals,0.6984126984126984,0.7248677248677249
DAAG,186,123,123,124,departures,0.6612903225806451,0.6666666666666666
EYVI,186,179,179,179,departures,0.9623655913978495,0.9623655913978495
DTTA,186,8,3,3,arrivals,0.016129032258064516,0.016129032258064516
DTTA,185,2,2,2,departures,0.010810810810810811,0.010810810810810811
DAAG,184,144,140,142,arrivals,0.7608695652173914,0.7717391304347826
LFOB,181,180,180,180,departures,0.994475138121547,0.994475138121547
LFOB,181,169,168,168,arrivals,0.9281767955801105,0.9281767955801105
LDDU,180,4,0,0,arrivals,0.0,0.0
LGKO,178,174,173,183,departures,0.9719101123595506,1.0280898876404494
LDDU,177,1,0,0,departures,0.0,0.0
LGKO,177,169,168,183,arrivals,0.9491525423728814,1.0338983050847457
EETN,162,138,137,139,arrivals,0.845679012345679,0.8580246913580247
EPPO,161,154,154,154,departures,0.9565217391304348,0.9565217391304348
HESH,161,3,0,0,arrivals,0.0,0.0
UMKK,160,5,2,4,departures,0.0125,0.025
HESH,159,1,0,0,departures,0.0,0.0
LPMA,159,156,156,157,departures,0.9811320754716981,0.9874213836477987
EETN,159,149,149,151,departures,0.9371069182389937,0.949685534591195
UMKK,159,48,20,119,arrivals,0.12578616352201258,0.7484276729559748
LPMA,158,10,9,14,arrivals,0.056962025316455694,0.08860759493670886
LIMF,157,156,154,155,departures,0.9808917197452229,0.9872611464968153
LIMF,157,150,148,149,arrivals,0.9426751592356688,0.9490445859872612
LIRA,156,143,143,143,arrivals,0.9166666666666666,0.9166666666666666
LIRA,154,152,152,154,departures,0.987012987012987,1.0
EKBI,154,144,142,142,arrivals,0.922077922077922,0.922077922077922
EPPO,154,99,99,117,arrivals,0.6428571428571429,0.7597402597402597
LPPD,153,57,57,124,departures,0.37254901960784315,0.8104575163398693
EKBI,152,150,150,151,departures,0.9868421052631579,0.993421052631579
LPPD,151,92,81,94,arrivals,0.5364238410596026,0.6225165562913907
ULLI,148,12,2,2,arrivals,0.013513513513513514,0.013513513513513514
LIPX,144,144,144,145,departures,1.0,1.0069444444444444
OLBA,144,140,136,137,departures,0.9444444444444444,0.9513888888888888
OLBA,144,102,86,87,arrivals,0.5972222222222222,0.6041666666666666
ENTC,143,67,6,7,arrivals,0.04195804195804196,0.04895104895104895
ULLI,142,3,1,1,departures,0.007042253521126761,0.007042253521126761
LIPX,142,131,131,135,arrivals,0.9225352112676056,0.9507042253521126
LGSR,139,16,12,17,departures,0.08633093525179857,0.1223021582733813
LGSR,139,68,35,105,arrivals,0.2517985611510791,0.7553956834532374
ENTC,138,81,16,16,departures,0.11594202898550725,0.11594202898550725
LTCG,138,86,84,103,arrivals,0.6086956521739131,0.7463768115942029
EGPD,137,125,125,125,departures,0.9124087591240876,0.9124087591240876
EGPD,136,120,120,120,arrivals,0.8823529411764706,0.8823529411764706
ENBO,134,130,130,225,departures,0.9701492537313433,1.6791044776119404
EBLG,134,134,134,136,departures,1.0,1.0149253731343284
LTCG,133,126,126,137,departures,0.9473684210526315,1.0300751879699248
LTDB,133,7,2,2,departures,0.015037593984962405,0.015037593984962405
