AIRPORT;APT_ICAO;PHASE;YEAR;MONTH_NUM;PUNCT_CAT;NB_FLT;MONTHLY_TRAFIC
EGNX;EGNX;DEP;2022;4;[- 5, -15];NA;NA
EPKK;EPKK;ARR;2020;7;[<-31];NA;NA
LGTS;LGTS;ARR;2021;3;[+31, +60];NA;NA
LFRS;LFRS;DEP;2025;8;[>+61];NA;NA
LQSA;LQSA;DEP;2024;5;[+31, +60];NA;NA
LTBA;LTBA;ARR;2019;4;[-16, -30];NA;NA
LTFJ;LTFJ;DEP;2022;2;[- 4, + 4];NA;NA
LTAI;LTAI;ARR;2020;9;[- 4, + 4];NA;NA
UGKO;UGKO;ARR;2019;12;[+ 5, +15];NA;NA
LBWN;LBWN;DEP;2025;8;[<-31];NA;NA
EHEH;EHEH;DEP;2019;8;[+ 5, +15];NA;NA
EGNX;EGNX;ARR;2023;8;[+ 5, +15];NA;NA
EHEH;EHEH;DEP;2025;5;[<-31];NA;NA
LICJ;LICJ;ARR;2024;8;[<-31];NA;NA
UKBB;UKBB;DEP;2019;8;[- 4, + 4];NA;NA
LQSA;LQSA;DEP;2023;11;[+16, +30];NA;NA
LTBJ;LTBJ;ARR;2020;12;[<-31];NA;NA
ESSB;ESSB;DEP;2022;4;[- 5, -15];NA;NA
GMMN;GMMN;ARR;2019;5;[-16, -30];NA;NA
LTBJ;LTBJ;DEP;2024;11;[- 4, + 4];NA;NA
LFPB;LFPB;DEP;2020;1;[- 5, -15];NA;NA
UGSB;UGSB;DEP;2023;2;[- 4, + 4];NA;NA
GMMX;GMMX;DEP;2019;2;[>+61];NA;NA
LFBD;LFBD;DEP;2025;4;[>+61];NA;NA
ENBO;ENBO;ARR;2025;5;[+ 5, +15];NA;NA
LWSK;LWSK;ARR;2026;3;[>+61];NA;NA
GMMX;GMMX;ARR;2021;1;[<-31];NA;NA
EGNX;EGNX;ARR;2023;4;[+16, +30];NA;NA
LTFM;LTFM;ARR;2019;10;[- 4, + 4];NA;NA
ENTC;ENTC;DEP;2024;3;[+ 5, +15];NA;NA
ENZV;ENZV;ARR;2022;1;[>+61];NA;NA
LWSK;LWSK;DEP;2023;3;[+16, +30];NA;NA
LTAI;LTAI;DEP;2020;6;[- 4, + 4];NA;NA
EGAA;EGAA;DEP;2021;2;[- 4, + 4];NA;NA
LWSK;LWSK;ARR;2026;2;[+31, +60];NA;NA
EBLG;EBLG;DEP;2025;7;[+31, +60];NA;NA
LGTS;LGTS;ARR;2019;1;[- 4, + 4];NA;NA
ENBO;ENBO;DEP;2020;5;[- 5, -15];NA;NA
UDYZ;UDYZ;DEP;2025;3;[+31, +60];NA;NA
GMMN;GMMN;DEP;2020;11;[<-31];NA;NA
EPKT;EPKT;ARR;2024;11;[+ 5, +15];NA;NA
UGSB;UGSB;ARR;2023;9;[+16, +30];NA;NA
EYVI;EYVI;DEP;2025;6;[+ 5, +15];NA;NA
EPKK;EPKK;ARR;2023;2;[-16, -30];NA;NA
UKBB;UKBB;DEP;2020;5;[+31, +60];NA;NA
ESSB;ESSB;ARR;2022;7;[>+61];NA;NA
LGTS;LGTS;ARR;2024;4;[<-31];NA;NA
BIKF;BIKF;DEP;2024;9;[- 4, + 4];NA;NA
LICJ;LICJ;ARR;2020;2;[+31, +60];NA;NA
ENTC;ENTC;ARR;2022;5;[+ 5, +15];NA;NA
LYPG;LYPG;ARR;2023;12;[+16, +30];NA;NA
ENVA;ENVA;ARR;2023;8;[- 4, + 4];NA;NA
LCLK;LCLK;ARR;2021;1;[+ 5, +15];NA;NA
LIEO;LIEO;ARR;2023;3;[-16, -30];NA;NA
EGNX;EGNX;DEP;2020;8;[- 4, + 4];NA;NA
EPKT;EPKT;ARR;2019;3;[- 5, -15];NA;NA
LTFJ;LTFJ;ARR;2025;5;[+ 5, +15];NA;NA
EGAA;EGAA;ARR;2020;11;[+16, +30];NA;NA
ESSB;ESSB;ARR;2024;8;[- 5, -15];NA;NA
GMMX;GMMX;DEP;2020;3;[- 5, -15];NA;NA
LLBG;LLBG;DEP;2024;2;[- 4, + 4];NA;NA
LFRS;LFRS;DEP;2024;1;[- 4, + 4];NA;NA
LCLK;LCLK;DEP;2022;6;[- 5, -15];NA;NA
LFRS;LFRS;ARR;2022;9;[+16, +30];NA;NA
LYPG;LYPG;DEP;2023;7;[- 4, + 4];NA;NA
EGAA;EGAA;ARR;2023;9;[+31, +60];NA;NA
LATI;LATI;ARR;2023;7;[+ 5, +15];NA;NA
LIBD;LIBD;ARR;2019;1;[- 4, + 4];NA;NA
UGKO;UGKO;ARR;2025;8;[+31, +60];NA;NA
GMMX;GMMX;DEP;2023;6;[<-31];NA;NA
EPKK;EPKK;ARR;2020;1;[<-31];NA;NA
GMMN;GMMN;DEP;2022;11;[-16, -30];NA;NA
EPKT;EPKT;DEP;2019;7;[- 4, + 4];NA;NA
