airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,run
LZIB,105,103,102,102,arrivals,0.9714285714285714,0.9714285714285714,path0_legacy
LEGE,104,79,79,80,departures,0.7596153846153846,0.7692307692307693,path0_legacy
LGMK,104,49,47,50,arrivals,0.4519230769230769,0.4807692307692308,path0_legacy
EDJA,104,102,102,102,arrivals,0.9807692307692307,0.9807692307692307,path0_legacy
EDJA,102,101,101,101,departures,0.9901960784313726,0.9901960784313726,path0_legacy
OKKK,102,41,41,42,arrivals,0.4019607843137255,0.4117647058823529,path0_legacy
EGJJ,101,97,95,101,departures,0.9405940594059405,1.0,path0_legacy
EHRD,100,100,99,101,arrivals,0.99,1.01,path0_legacy
EHRD,99,98,96,101,departures,0.9696969696969697,1.02020202020202,path0_legacy
LBBG,97,82,82,82,arrivals,0.845360824742268,0.845360824742268,path0_legacy
LOWS,96,94,94,97,departures,0.9791666666666666,1.0104166666666667,path0_legacy
LOWS,95,92,90,90,arrivals,0.9473684210526315,0.9473684210526315,path0_legacy
DTTJ,94,1,0,0,arrivals,0.0,0.0,path0_legacy
LJLJ,94,86,85,86,arrivals,0.9042553191489362,0.9148936170212766,path0_legacy
