month,adep_accuracy,adep_coverage,adep_overall,ades_accuracy,ades_coverage,ades_overall,max_endpoint_agl_ft,max_endpoint_dist_nm,n_ground_truth,days,cleaned
2024-06,0.9852198455139631,0.29017554068470564,0.2858867013653164,0.9700260642919201,0.34728822508863244,0.33687863015765257,0.0,2.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9874812477367958,0.4166208687593616,0.41140529531568226,0.9720114900198866,0.4389163676332719,0.42663175249733293,500.0,2.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9881615749875328,0.49699889007424647,0.4911152059828231,0.9713141609028031,0.44402418129505705,0.43128697507516245,1000.0,2.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9883358471593766,0.5358355154689167,0.5295854481190531,0.9709076803723817,0.4444875483572021,0.431556374529898,2000.0,2.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9879177686943977,0.5378075194775805,0.5313096046293603,0.9705775605507029,0.44536040259054516,0.43225681311221026,5000.0,2.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9879054865839006,0.5381523507796421,0.5316436599532323,0.9704745336812602,0.4459961853037209,0.4328279399562495,8000.0,2.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9878326996197718,0.5384756301253246,0.5319238353861572,0.9702169768059277,0.44648110432224486,0.4331835472365004,10000.0,2.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9869924872122762,0.5393161564240994,0.5323009946227869,0.9688694439770187,0.4482699167016886,0.4343150249463895,15000.0,2.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9866208714405528,0.539639435769782,0.5324195303828705,0.9681861804222649,0.44914277093503163,0.4348538238558605,20000.0,2.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9839765918907621,0.5413743682582787,0.5326997058157954,0.9619399125487799,0.4583885602215541,0.4409422515328829,1000000000.0,2.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9851936218678815,0.2933005743596375,0.28895785514930117,0.96993797211816,0.3509305057166564,0.34038082306921413,0.0,3.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9875063742988271,0.42263386458905805,0.4173536352762422,0.9728735951158596,0.4659748488669059,0.45333462645071604,500.0,3.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.98828125,0.5075916766344465,0.5016433366738866,0.9727637551808075,0.491395381415748,0.4780116165044882,1000.0,3.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9888951205832865,0.5764070733520835,0.570006142307568,0.9723565847359321,0.492343667496417,0.47873360704317935,2000.0,3.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9882085419302782,0.5876248666472699,0.5806959126714728,0.9719607800318826,0.4934643692281167,0.4796280132329012,5000.0,3.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9881829174453116,0.5881744415349304,0.5812239356027543,0.9717275204359673,0.49434799943964913,0.4803715557279712,8000.0,3.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9879368101191675,0.5886809125098331,0.5815795428830052,0.9713956070270152,0.49501611008739316,0.4808564747464951,10000.0,3.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9870072912669261,0.5896938544596386,0.5820321339669609,0.9698914009494288,0.49712820181251954,0.48216036810741497,15000.0,3.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9865232556016142,0.5901033416308366,0.5821506697270444,0.9691508923742563,0.49811959180594617,0.48275304690783305,20000.0,3.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9836930804790157,0.5920968975958792,0.5824416211381588,0.9619741271622452,0.5089602258645028,0.4896065690363043,1000000000.0,3.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9851606978879706,0.2933760062069634,0.2890225110184377,0.96981409902448,0.3512753370187179,0.3406717744803284,0.0,5.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9874910832569042,0.4229786958911195,0.41768769060011424,0.9730671159275112,0.4733240659920904,0.4605760837940064,500.0,5.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9882298051025385,0.5081196995657281,0.5021390316705999,0.9733222522335342,0.5186478302567915,0.5048114742615761,1000.0,5.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9887774813724588,0.585728294485932,0.5791549477903857,0.9725688816855753,0.5319022834297783,0.5173116089613035,2000.0,5.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9881787388373764,0.6298990290843651,0.6224528281554759,0.9718375257398958,0.5337773036347374,0.5187448140604963,5000.0,5.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9878262945218326,0.632021896787681,0.6243278483604349,0.9713699374283242,0.5355984439487494,0.5202642269852046,8000.0,5.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
